id	filename	md5	size	state
5fcd0660-3e77-4a56-af19-01045301708c	60e5b5de-ba65-46c7-82ee-8181628f0cbd.rna_seq.augmented_star_gene_counts.tsv	f4b4b769f16c461fbeb7a8caa544af99	4253653	released
e0bd84f0-9524-4bd2-aa92-7205357596e5	083eb05f-0af4-4f73-bf09-3806eb3b71bb.rna_seq.augmented_star_gene_counts.tsv	f64c247dfa21e88812983189a407b680	4245853	released
bdef0c66-0755-4581-b813-87c8512754ba	2e36839f-3155-4e05-9ed3-404522fdb04f.rna_seq.augmented_star_gene_counts.tsv	b3ca1fbb5cab76c57b14d3c21d6d12fe	4245221	released
9f06e9cd-8184-4b66-a2e0-96da9a7159e8	352ec91a-6c0a-4d6e-b6bd-4237f5eebde9.rna_seq.augmented_star_gene_counts.tsv	70d41be03628259c3efae80463acc6fc	4247218	released
9765934d-d954-485c-abfe-b9db59f18193	956570e5-7ed4-4d17-a830-f1bc67a7af15.rna_seq.augmented_star_gene_counts.tsv	12faade223516e546bd72fddf589d3b4	4254666	released
4d27c8ac-375b-414a-8f88-75092f03bdd8	3f94086c-9e16-403e-b191-e03e9b6e3ce2.rna_seq.augmented_star_gene_counts.tsv	62af53edf4895aedca71914776644f18	4254851	released
cc7ea1eb-4947-4030-ace5-673e9441a9a8	952e9924-3a48-4572-bf4c-95e5049e452d.rna_seq.augmented_star_gene_counts.tsv	db1916a66beeaea19203cfdb67bf6ae2	4253150	released
41a97024-43f7-41b8-8755-94cd29105a5f	62e41b20-5f83-43c2-9887-809e97794f04.rna_seq.augmented_star_gene_counts.tsv	a37b8241a944cbcb81e3e9452e5b1260	4233939	released
5fbbee45-08b5-4cd0-83c6-c18bc4e89d99	034f8d01-f664-494b-bc04-77485000611f.rna_seq.augmented_star_gene_counts.tsv	8ac64126e6f11ef928219c1d838cb7c0	4244985	released
4382bb60-997e-4a1a-9cdb-3d8738806379	790ea932-848f-40cf-ab94-673eea700aa2.rna_seq.augmented_star_gene_counts.tsv	a0b221f948225f9bea77638969954abe	4233860	released
99367019-5583-4bcc-aa62-25916515fe17	c28b080d-8eb9-46b7-9e40-c37409820e17.rna_seq.augmented_star_gene_counts.tsv	dcddca1ef4cbd8e3ff1259a474898676	4237154	released
04a7cce8-c3b3-4994-9dac-c0e53099f37d	676cce88-9f6e-4490-8e73-c0e88bd00075.rna_seq.augmented_star_gene_counts.tsv	8bd64566a6e28ef70633a906518ec4b6	4248694	released
7915bbbc-7e5b-4439-bea4-12fc7f639d6d	e1edc70f-0307-4283-9efc-77feb465c9df.rna_seq.augmented_star_gene_counts.tsv	595e5d383e4876c749c355dfa9e64eab	4249038	released
793d3caa-8353-4536-83e5-711215bd51e9	6fb7c578-dec9-4fe8-a9bf-3888bb765658.rna_seq.augmented_star_gene_counts.tsv	c1fea334fbbbefbbdc72b89afd1681e7	4261275	released
de5e449b-bc57-4836-89e4-73a3ba24abdf	748e4eaa-2b96-4dce-a903-c7df733d7f50.rna_seq.augmented_star_gene_counts.tsv	2b387278e504ea6b94445cef639500d0	4245842	released
1341b934-ead3-4c4a-bd84-09084895fa83	6ddab78f-8bf5-43ef-847b-f68c15475d46.rna_seq.augmented_star_gene_counts.tsv	783496a60f6b4d55af112aa1fd8a76ea	4231620	released
50e8fce6-5775-41d6-bcaa-73773db999e2	ea55206b-29c6-4a8b-9219-cfd28c29117a.rna_seq.augmented_star_gene_counts.tsv	62b8e0d97332ddd15f740dde2b9daf76	4241350	released
3eb2d652-73f5-41c0-bf73-f40e85e1ecae	eecb45f4-ea57-4aea-814e-9895d42034e9.rna_seq.augmented_star_gene_counts.tsv	9652896584ddd9f89fea8369b698d8da	4239635	released
422ef158-74dd-4a5e-88a6-5b0da33004d1	9b7c81c7-d03c-446c-9d25-8c966058b0e3.rna_seq.augmented_star_gene_counts.tsv	31051643d355efb8baecf8a64979428c	4247739	released
37bf6454-a4e7-4e00-9562-57ba6fd58b6d	7fe106c5-4235-4930-83cd-84dc5250db89.rna_seq.augmented_star_gene_counts.tsv	f603c6bafd5830ee650bd449db192719	4252688	released
31d22a4a-b8c0-4cb1-a354-d81649be2e41	729c46eb-a00c-4be7-acd7-6956a47415d0.rna_seq.augmented_star_gene_counts.tsv	bc47f4bdb95a1293bf68f6839bebe71a	4218843	released
fed7750a-d3d8-4f31-8635-c36404297cc2	988a46dc-d814-4c83-af7a-fb821e14bb18.rna_seq.augmented_star_gene_counts.tsv	6d6beccb1fe15e84f14377c76e68c61d	4202045	released
522ab460-ad51-4c83-9283-d58a9c729682	1b83fe37-ad4a-44b1-8bf3-3d122f81a8d7.rna_seq.augmented_star_gene_counts.tsv	b12423850c735d50dda7c426b95cdb03	4216186	released
feb91281-f896-47ad-9b46-f32950b84aa0	f7b7192d-5419-43d7-ac37-f1ffaeaf2ca3.rna_seq.augmented_star_gene_counts.tsv	6f04b9a9ff82a1d0a5336ebb6354042d	4202064	released
b3cf0985-2fde-44a1-a427-8b1e98af3dfa	e146f166-c5d8-4e24-9ed1-2d07446c2ef5.rna_seq.augmented_star_gene_counts.tsv	e0304e944e8260614daf2c1569046370	4213497	released
cd6e8049-24f4-479a-ba85-67914c4224f3	134b9127-03c9-4c69-af8c-23811598e1a8.rna_seq.augmented_star_gene_counts.tsv	5d8bb1e934dace1664763a25d335292a	4212936	released
ea6ccb62-0f86-468b-975e-f61c08060c1e	fcaa63c7-6351-4d56-ba64-8d70c455c9a8.rna_seq.augmented_star_gene_counts.tsv	3481a58a2c043a20f6bbae8a9bd08c64	4195721	released
b36cc3e0-9b79-4262-a363-65b2aed76b2f	47439638-8f90-4cd7-baec-a87bc5ba179c.rna_seq.augmented_star_gene_counts.tsv	54611d11913e64f08426763c032b77a2	4202616	released
